language,gender,task,langtask,speaker,scenario,condition1,condition2,dur,f0mnhz,f0mdhz,f0sdhz,f0mihz,f0mahz,f0rghz,f0mnvst,f0mdvst,f0sdvst,f0mivst,f0mavst,f0rgvst,inmn,inmd,inrange,jitloc,jitrap,jitppq5,periodsd,shimloc,shimapq11,shimapq3,h1mh2mn,slopen0114,slopen5228,mnHNR,mnNHR,jitlocvr,jitrapvr,shimlocvr,shimapq3vr
Korean,F,epr,epr_kor,2,7,con,polite,9.09,184.8,177.9,23.8,148.1,242.2,94.1,90.22,89.7,2.17,6.8,15.3,8.5,58.2,56.8,28.6,0.01282,0.00399,0.00784,0.0007,0.10443,0.09492,0.04368,5.7,-16.8,-14.4,12.4,0.1621,0.01282,0.00399,0.10443,0.04368
Korean,F,epr,epr_kor,2,7,pan,casual,7.237,189.5,181.6,27.9,83.9,257.8,173.9,90.6,90.05,2.67,-3.03,16.4,19.43,59.1,57.3,29.8,0.01139,0.00357,0.00622,0.0008,0.11548,0.09319,0.04927,4.61,-14.6,-17.5,12.2,0.1433,0.01139,0.00357,0.11548,0.04927
Korean,F,epr,epr_kor,2,8,con,polite,8.671,192.1,189,24.7,141.9,249.9,108,90.89,90.74,2.21,6.05,15.85,9.8,58.4,56.2,27.4,0.01313,0.00353,0.00586,0.0009,0.1204,0.12008,0.04666,4.02,-16.1,-14.4,11.8,0.1632,0.01313,0.00353,0.1204,0.04666
Korean,F,epr,epr_kor,2,8,pan,casual,7.204,194.7,187.1,31,142.3,292.3,149.9,91.06,90.58,2.6,6.12,18.57,12.45,59.4,57.7,28.2,0.01249,0.00372,0.00701,0.0009,0.13206,0.14346,0.04805,5.58,-14.9,-17.5,12.1,0.1677,0.01249,0.00372,0.13206,0.04805
Korean,F,epr,epr_kor,2,9,con,polite,9.232,185.6,183.8,41.7,76.3,290,213.7,89.91,90.26,4.51,-4.68,18.43,23.11,59,57.1,29.1,0.01262,0.00385,0.00662,0.0013,0.11999,0.10276,0.04868,3.56,-14.1,-16.2,11.4,0.1954,0.01262,0.00385,0.1201,0.0487
Korean,F,epr,epr_kor,2,9,pan,casual,7.326,191,184.1,38.7,81,274.9,193.9,90.52,90.29,3.98,-3.65,17.51,21.16,58.9,56.2,26.3,0.01157,0.00369,0.00639,0.0011,0.12595,0.11093,0.05395,6.11,-12.7,-20.1,11.1,0.1848,0.01157,0.00369,0.12579,0.05391
Korean,F,epr,epr_kor,4,10,con,polite,10.214,190.7,187.1,28.9,129.4,293,163.5,90.7,90.57,2.62,4.46,18.61,14.14,73.5,68.3,42.8,0.01249,0.00294,0.0056,0.0008,0.08113,0.06713,0.02391,2.51,-14.3,-18.6,15.8,0.1079,0.01249,0.00294,0.08102,0.02385
Korean,F,epr,epr_kor,4,10,pan,casual,8.529,183.5,174.1,33.7,125.3,271,145.7,89.97,89.33,3,3.98,17.26,13.28,72.9,67.6,44.4,0.01287,0.00286,0.00571,0.001,0.08924,0.08463,0.02483,3.89,-13,-18.8,14.5,0.1295,0.01287,0.00286,0.08924,0.02483
Korean,F,epr,epr_kor,4,1,con,polite,8.138,195.9,200.2,36.2,123.1,290.7,167.6,91.06,91.74,3.25,3.6,18.48,14.87,73.1,69.8,43.1,0.01262,0.00281,0.00562,0.001,0.0782,0.07319,0.02359,5.61,-16,-20.4,16.4,0.1018,0.01262,0.00281,0.07822,0.0236
Korean,F,epr,epr_kor,4,1,pan,casual,5.873,218.8,217.7,38.7,137.3,292.3,155,92.99,93.19,3.2,5.48,18.56,13.08,74.6,71.1,42.9,0.0121,0.00232,0.00456,0.001,0.07349,0.07604,0.02032,5.97,-13.1,-20.3,15.6,0.1094,0.0121,0.00232,0.07355,0.02034
Korean,F,epr,epr_kor,4,2,con,polite,9.201,187.3,182.6,29.2,124.6,250.6,126,90.38,90.15,2.69,3.81,15.91,12.09,72.8,71.1,37.4,0.01148,0.00271,0.0051,0.0009,0.07458,0.06734,0.02299,4.96,-16.8,-17,17.8,0.0737,0.01148,0.00271,0.07458,0.02299
Korean,F,epr,epr_kor,4,2,pan,casual,8.145,193.6,182.6,35.2,117.2,275.2,158,90.89,90.15,3.05,2.78,17.53,14.75,74,71.4,37.9,0.01155,0.0028,0.0053,0.0009,0.08227,0.06874,0.03121,3.35,-14.8,-20,16.2,0.0896,0.01155,0.0028,0.08227,0.03121
Korean,F,epr,epr_kor,4,3,con,polite,10.079,202.1,191.3,45.2,131.6,324.9,193.3,91.5,90.96,3.7,4.76,20.4,15.64,73.5,70.8,40.4,0.01217,0.00312,0.00602,0.0011,0.06457,0.05557,0.01991,6.09,-14.9,-19.3,17.7,0.0964,0.01217,0.00312,0.06457,0.01991
Korean,F,epr,epr_kor,4,3,pan,casual,8.785,207.7,195.3,43.1,128,328.3,200.3,92.02,91.31,3.49,4.28,20.58,16.3,73.4,71.1,42,0.01262,0.00295,0.00575,0.001,0.06845,0.06105,0.02125,6.62,-13.2,-18.7,16.6,0.1028,0.01262,0.00295,0.06845,0.02125
Korean,F,epr,epr_kor,4,4,con,polite,11.464,194,190.6,35.6,129,285.6,156.6,90.91,90.9,3.12,4.44,18.17,13.73,73.2,70.1,41.2,0.01153,0.00278,0.00539,0.0009,0.06981,0.06179,0.01979,4.28,-14.3,-17.3,16.8,0.0898,0.01153,0.00278,0.06981,0.01979
Korean,F,epr,epr_kor,4,4,pan,casual,10.609,218,213.5,43.5,121,365.4,244.4,92.88,92.85,3.43,3.3,22.43,19.13,74.5,70.9,43.7,0.01189,0.00251,0.00485,0.001,0.07695,0.07812,0.02385,5.26,-13.8,-19,16.4,0.0908,0.01189,0.00251,0.07695,0.02385
Korean,F,epr,epr_kor,4,5,con,polite,8.749,185.9,181,32.1,129.8,284.3,154.4,90.22,90,2.9,4.52,18.09,13.56,73.8,71,40.9,0.01398,0.00325,0.00617,0.001,0.07191,0.06387,0.02171,6.66,-15.2,-16.6,15.8,0.0996,0.01398,0.00325,0.07169,0.0217
Korean,F,epr,epr_kor,4,5,pan,casual,6.794,194.5,185.5,39,117.2,270.8,153.6,90.9,90.42,3.48,2.76,17.25,14.49,74.1,72,37.5,0.01451,0.00328,0.00655,0.0011,0.08394,0.08054,0.02545,3.06,-13.9,-16.9,14.9,0.1158,0.01451,0.00328,0.08394,0.02545
Korean,F,epr,epr_kor,4,6,con,polite,11.26,191.9,186.2,43,123.9,316.8,192.9,90.59,90.49,3.77,3.71,19.96,16.25,73.8,70.6,41.7,0.01136,0.0027,0.00484,0.0012,0.07643,0.0712,0.0265,5.48,-15,-19.9,16,0.0961,0.01136,0.0027,0.07643,0.0265
Korean,F,epr,epr_kor,4,6,pan,casual,9.561,213,208.6,49.1,129.3,326.5,197.2,92.36,92.46,3.99,4.45,20.43,15.98,74.5,70.9,44,0.01157,0.00234,0.00456,0.0012,0.07735,0.0688,0.02679,4.96,-14,-19.7,15.6,0.1123,0.01157,0.00234,0.07741,0.02681
Korean,F,epr,epr_kor,4,7,con,polite,11.423,188,188.5,34.7,132.6,267.7,135.1,90.37,90.7,3.16,4.89,17.05,12.16,73.3,69.8,43.4,0.01105,0.00281,0.00574,0.0011,0.0766,0.07393,0.02397,4.1,-15.6,-20.5,16.5,0.0939,0.01105,0.00281,0.0766,0.02397
Korean,F,epr,epr_kor,4,7,pan,casual,9.23,194.3,177.7,40.8,132.5,310.9,178.4,90.86,89.68,3.53,4.88,19.64,14.76,73.9,70.5,41.1,0.01276,0.00304,0.00589,0.0011,0.08763,0.08437,0.02456,1.98,-13.3,-19.1,15.3,0.0996,0.01276,0.00304,0.08763,0.02456
Korean,F,epr,epr_kor,4,8,con,polite,11.125,194.2,193.6,35,127.7,276.9,149.2,90.94,91.16,3.12,4.24,17.63,13.39,73.2,70,38.1,0.01376,0.00347,0.00675,0.0009,0.0832,0.07322,0.02591,4.19,-15.1,-18.4,16.1,0.1097,0.01376,0.00347,0.0832,0.02591
Korean,F,epr,epr_kor,4,8,pan,casual,9.016,200.8,196.1,44.8,127.2,372.4,245.2,91.38,91.39,3.79,4.19,22.76,18.57,73.5,70,41.4,0.01392,0.00315,0.00601,0.0011,0.08831,0.08381,0.02384,2.84,-14.3,-19.7,15.5,0.1167,0.01392,0.00315,0.08831,0.02384
Korean,F,epr,epr_kor,4,9,con,polite,10.491,196.5,183.8,44.2,129.3,356.2,226.9,91.01,90.26,3.74,4.45,21.98,17.53,72.9,69.3,38.5,0.01164,0.00294,0.00567,0.0011,0.07593,0.06809,0.02431,3.58,-14.2,-19,15.9,0.1078,0.01164,0.00294,0.07593,0.02431
Korean,F,epr,epr_kor,4,9,pan,casual,8.583,209.7,202.4,45.8,124.2,355.2,231,92.16,91.93,3.64,3.75,21.94,18.19,73.4,68.8,37.4,0.0118,0.00263,0.00486,0.0011,0.08128,0.0831,0.02411,2.8,-13.6,-20.6,15.6,0.1122,0.0118,0.00263,0.0813,0.02412
Korean,F,epr,epr_kor,5,10,con,polite,7.834,223.6,219.6,34.3,147.8,313,165.2,93.46,93.35,2.64,6.76,19.75,12.99,69.2,66.8,35,0.01095,0.00281,0.00526,0.0008,0.07338,0.06351,0.02217,3.42,-15.4,-18.3,15.8,0.1081,0.01095,0.00281,0.07338,0.02217
Korean,F,epr,epr_kor,5,10,pan,casual,6.897,224.2,220.8,38.3,143.7,317.9,174.2,93.45,93.44,2.93,6.28,20.02,13.74,69.5,66.2,36.4,0.01085,0.00289,0.0054,0.0009,0.08478,0.07963,0.02547,2.16,-13.4,-19,15,0.1116,0.01085,0.00289,0.08478,0.02547
Korean,F,epr,epr_kor,5,1,con,polite,6.824,214.1,214.6,30.6,141.8,299.7,157.8,92.72,92.94,2.52,6.05,19,12.95,65.6,63.7,34.2,0.01125,0.00283,0.00552,0.0007,0.08638,0.0841,0.02745,3.71,-15,-17.6,16,0.0975,0.01125,0.00283,0.08638,0.02745
Korean,F,epr,epr_kor,5,1,pan,casual,5.027,239.3,238.2,37.3,155.4,334.9,179.6,94.62,94.76,2.7,7.63,20.93,13.3,69.9,67.5,33.3,0.00956,0.00228,0.00438,0.0007,0.08749,0.09581,0.02532,7.78,-11.7,-19,15.9,0.0782,0.00956,0.00228,0.08749,0.02532
Korean,F,epr,epr_kor,5,2,con,polite,7.276,229.5,232.4,35.5,151.8,317.1,165.3,93.89,94.33,2.72,7.22,19.98,12.76,70.4,69.2,34.4,0.01057,0.00235,0.00427,0.0007,0.07583,0.07631,0.02422,1.52,-15.4,-15.4,17,0.0845,0.01057,0.00235,0.07583,0.02422
Korean,F,epr,epr_kor,5,2,pan,casual,5.877,241.3,234.8,35.3,159,353.3,194.3,94.8,94.51,2.46,8.03,21.84,13.81,71.7,69.8,34.2,0.00873,0.00185,0.00373,0.0007,0.08169,0.09243,0.02487,1.78,-12.5,-17,16.5,0.0815,0.00873,0.00185,0.08169,0.02487
Korean,F,epr,epr_kor,5,3,con,polite,8.452,237,232.6,40,149.3,343,193.6,94.42,94.34,2.9,6.94,21.34,14.39,69,67.7,35.1,0.0084,0.00214,0.00398,0.0008,0.08244,0.07326,0.03596,5.28,-14.3,-16.7,16.1,0.1043,0.0084,0.00214,0.08244,0.03596
Korean,F,epr,epr_kor,5,3,pan,casual,7.116,241.6,229.9,41.1,151.4,351.6,200.1,94.76,94.14,2.88,7.19,21.77,14.58,71.9,70.4,36.9,0.00929,0.00215,0.00372,0.0009,0.07827,0.07743,0.02628,6.28,-11.3,-18,16.8,0.0895,0.00929,0.00215,0.07827,0.02628
Korean,F,epr,epr_kor,5,4,con,polite,8.944,226.9,229.5,33.8,155.2,315.2,160.1,93.72,94.11,2.61,7.61,19.88,12.27,70,68.2,33.1,0.00947,0.00238,0.00446,0.0007,0.07775,0.0821,0.026,4.52,-13.9,-15.3,16.3,0.0893,0.00947,0.00238,0.07775,0.026
Korean,F,epr,epr_kor,5,4,pan,casual,7.876,236.8,234.1,35.4,163.9,337.4,173.4,94.47,94.45,2.54,8.56,21.05,12.49,71.2,69.1,35.1,0.00881,0.0022,0.00442,0.0006,0.08134,0.08061,0.02344,0.99,-11.5,-16.8,17,0.0773,0.00881,0.0022,0.08134,0.02344
Korean,F,epr,epr_kor,5,5,con,polite,6.71,222.5,217.5,38.9,148.8,310.2,161.4,93.31,93.18,3.04,6.88,19.6,12.72,71.3,69.4,34.2,0.01107,0.0025,0.00502,0.0008,0.08691,0.10076,0.02515,0.68,-11.8,-13.6,15.3,0.1199,0.01107,0.0025,0.08691,0.02515
Korean,F,epr,epr_kor,5,5,pan,casual,5.64,234.2,233.7,43,137.8,349.4,211.6,94.17,94.42,3.16,5.56,21.65,16.1,72,70.4,25.7,0.01121,0.00263,0.00466,0.0009,0.08381,0.09562,0.02646,-2.03,-10.9,-15.3,14.9,0.1139,0.01121,0.00263,0.08381,0.02646
Korean,F,epr,epr_kor,5,6,con,polite,9.232,230.6,230.9,35.1,152.1,303.8,151.8,93.99,94.21,2.69,7.26,19.24,11.98,69,66.4,34.1,0.00756,0.00191,0.00369,0.0007,0.082,0.08061,0.03166,6.38,-12.6,-19.2,16.9,0.0812,0.00756,0.00191,0.082,0.03166
Korean,F,epr,epr_kor,5,6,pan,casual,7.805,235.7,232.9,41.4,133.1,326.9,193.8,94.3,94.36,3.07,4.95,20.51,15.55,69.8,66.6,38.4,0.00811,0.00201,0.00353,0.0008,0.06769,0.05934,0.02306,2.03,-11.9,-19.2,16.3,0.0894,0.00811,0.00201,0.06769,0.02306
Korean,F,epr,epr_kor,5,7,con,polite,8.645,234.9,233.8,39.8,169,339,170,94.26,94.43,2.93,9.09,21.14,12.05,70.6,68.7,37,0.00934,0.00196,0.00385,0.0007,0.07933,0.07666,0.02238,2.8,-13.1,-17.6,16.6,0.0851,0.00934,0.00196,0.07933,0.02238
Korean,F,epr,epr_kor,5,7,pan,casual,7.295,233,225.2,45.2,130.9,354.2,223.3,94.04,93.78,3.38,4.72,21.89,17.18,70.3,68.8,35.3,0.00982,0.00207,0.00402,0.0008,0.08182,0.08519,0.02756,2.44,-12.8,-18.2,15.5,0.0864,0.00982,0.00207,0.08184,0.02754
Korean,F,epr,epr_kor,5,8,con,polite,8.958,215.5,219.3,32.5,149.1,295.5,146.4,92.83,93.32,2.61,6.91,18.75,11.84,67.5,65.7,34,0.01065,0.00264,0.00498,0.0007,0.07984,0.07355,0.0249,1.87,-14.1,-18.1,16,0.0991,0.01065,0.00264,0.07984,0.0249
Korean,F,epr,epr_kor,5,8,pan,casual,7.153,218.6,219.4,33,138.9,298.3,159.5,93.07,93.33,2.63,5.68,18.92,13.24,68.4,66.6,36,0.01075,0.00284,0.00554,0.0007,0.08481,0.09808,0.027,2.82,-13.9,-19.5,15.4,0.103,0.01075,0.00284,0.08481,0.027
Korean,F,epr,epr_kor,5,9,con,polite,9.184,244.6,243.5,52.2,148.5,397.8,249.2,94.82,95.13,3.72,6.85,23.83,16.98,70.7,68,38.5,0.00895,0.00203,0.00382,0.0009,0.08992,0.086,0.03009,4.69,-12.7,-18.4,15.8,0.0921,0.00895,0.00203,0.08992,0.03009
Korean,F,epr,epr_kor,5,9,pan,casual,7.602,252.8,244.5,50.8,159.1,389.9,230.9,95.43,95.2,3.5,8.03,23.56,15.52,72.1,69.4,37.7,0.00908,0.00231,0.00402,0.0009,0.08845,0.09054,0.02852,5.42,-11.1,-20,15.3,0.0965,0.00908,0.00231,0.08845,0.02852
Korean,F,epr,epr_kor,6,10,con,polite,7.497,188.6,189.2,24.1,138,262.3,124.3,90.57,90.76,2.25,5.59,16.69,11.1,73.6,70.5,39.2,0.01159,0.0029,0.00569,0.0007,0.0797,0.08375,0.01991,0.49,-15.5,-25.3,17.4,0.08,0.01159,0.0029,0.0797,0.01991
Korean,F,epr,epr_kor,6,10,pan,casual,6.948,196.7,196.7,27.8,127,257.4,130.4,91.26,91.43,2.55,4.16,16.37,12.21,73.5,69.8,42,0.01202,0.00317,0.00596,0.0008,0.0866,0.08439,0.02554,1.69,-13.1,-25,16.1,0.111,0.01202,0.00317,0.0866,0.02554
Korean,F,epr,epr_kor,6,1,con,polite,6.422,195.3,200.1,29.7,129.1,265.5,136.4,91.11,91.73,2.73,4.42,16.9,12.48,74,71,34.9,0.0121,0.00288,0.00525,0.0009,0.07419,0.07613,0.01791,1.69,-14.6,-23.1,16.6,0.0899,0.0121,0.00288,0.07419,0.01791
Korean,F,epr,epr_kor,6,1,pan,casual,4.675,206.4,203,28.4,146,295.8,149.8,92.11,91.99,2.37,6.56,18.7,12.14,74.3,71.9,33.3,0.00956,0.00216,0.00409,0.0007,0.08189,0.08394,0.02497,-0.09,-14.1,-26.4,17.5,0.0674,0.00956,0.00216,0.08189,0.02497
Korean,F,epr,epr_kor,6,2,con,polite,8.022,185.7,184.4,20.3,133.6,232.5,99,90.34,90.32,1.92,5.02,14.61,9.59,73.5,71.8,41,0.01054,0.00256,0.0047,0.0006,0.06324,0.06166,0.01949,1.84,-19.8,-20.2,18.3,0.0688,0.01054,0.00256,0.06324,0.01949
Korean,F,epr,epr_kor,6,2,pan,casual,6.188,193.2,187.6,32.2,136.2,290.9,154.7,90.89,90.62,2.85,5.35,18.49,13.14,74.5,72.9,28.4,0.00929,0.00239,0.00449,0.0009,0.06423,0.06593,0.01848,0.39,-13.9,-23.4,18.6,0.0718,0.00929,0.00239,0.06423,0.01848
Korean,F,epr,epr_kor,6,3,con,polite,8.197,197.6,190.2,31.9,133.5,282.3,148.8,91.3,90.86,2.75,5,17.97,12.96,73.2,70.9,31.2,0.01088,0.00279,0.0054,0.0009,0.08405,0.08354,0.02795,2.45,-16.3,-20.3,17.4,0.0982,0.01088,0.00279,0.08405,0.02795
Korean,F,epr,epr_kor,6,3,pan,casual,6.99,207,202.6,33,134.7,285.2,150.5,92.1,91.95,2.78,5.17,18.15,12.98,75.1,72.5,28.8,0.00919,0.00226,0.00471,0.0008,0.06887,0.0638,0.02147,-0.72,-12.8,-25.5,18.9,0.0644,0.00919,0.00226,0.06891,0.0214
Korean,F,epr,epr_kor,6,4,con,polite,9.488,190.6,191.2,29.6,119.4,264,144.6,90.68,90.95,2.76,3.07,16.8,13.74,73.5,70.5,34.7,0.01131,0.0028,0.00521,0.0009,0.06667,0.07156,0.02061,2.13,-16.5,-20.5,17,0.081,0.01131,0.0028,0.06665,0.02059
Korean,F,epr,epr_kor,6,4,pan,casual,8.109,187.1,183.4,24.1,141.9,254,112.1,90.43,90.23,2.18,6.09,16.14,10.05,73.2,70.9,35,0.01046,0.00293,0.00556,0.0008,0.07803,0.0748,0.02655,0.73,-16.6,-21.3,17,0.0877,0.01046,0.00293,0.07805,0.02654
Korean,F,epr,epr_kor,6,5,con,polite,8.082,196.9,196.7,32.2,131,272.9,141.9,91.22,91.44,2.9,4.67,17.38,12.71,74.6,72.5,42.4,0.00998,0.00205,0.00401,0.0009,0.06721,0.07585,0.01985,1.16,-15.6,-21.9,17.8,0.0677,0.00998,0.00205,0.06709,0.01975
Korean,F,epr,epr_kor,6,5,pan,casual,5.678,186.8,184.3,23.6,77.7,244.6,166.9,90.39,90.31,2.44,-4.35,15.48,19.84,73,71.1,25.6,0.01049,0.00266,0.00509,0.0011,0.07454,0.07553,0.0222,-0.42,-14.9,-24,17.4,0.0711,0.01049,0.00266,0.07454,0.02222
Korean,F,epr,epr_kor,6,6,con,polite,8.688,195.8,196.4,27.9,123.7,265.3,141.6,91.18,91.41,2.5,3.7,16.88,13.18,73.5,71.1,31.1,0.00948,0.00239,0.00446,0.0008,0.06696,0.07412,0.0205,3.63,-13.7,-22.7,18.1,0.0735,0.00948,0.00239,0.06696,0.0205
Korean,F,epr,epr_kor,6,6,pan,casual,8.469,191.6,191.5,32.5,79.7,276,196.3,90.73,90.98,3.03,-3.92,17.58,21.49,72.2,69.1,47.3,0.01119,0.00306,0.00533,0.0009,0.07519,0.0711,0.02322,2.92,-12.4,-24.4,17,0.0869,0.01119,0.00306,0.07519,0.02322
Korean,F,epr,epr_kor,6,7,con,polite,9.238,189.6,181.3,26.8,146,276.3,130.3,90.64,90.02,2.35,6.56,17.58,11.03,73.7,70.9,35.2,0.01016,0.00244,0.00464,0.0007,0.08495,0.07717,0.02971,4.15,-15,-23,16.8,0.0887,0.01016,0.00244,0.08495,0.02971
Korean,F,epr,epr_kor,6,7,pan,casual,7.776,187.4,180.9,23.9,139.3,251.4,112.2,90.46,89.99,2.18,5.74,15.96,10.23,73.6,71.2,33.6,0.01112,0.00295,0.00492,0.0009,0.07252,0.06727,0.022,4.25,-14.6,-22.4,17.5,0.0796,0.01112,0.00295,0.07252,0.02177
Korean,F,epr,epr_kor,6,8,con,polite,9.74,197.4,196.5,32,135,304.2,169.2,91.28,91.42,2.73,5.2,19.26,14.06,74.2,72.1,32,0.01264,0.00288,0.00508,0.0009,0.08179,0.07289,0.02689,-0.7,-16.4,-21.9,16.4,0.0902,0.01264,0.00288,0.08179,0.02689
Korean,F,epr,epr_kor,6,8,pan,casual,7.217,183.3,177,25.6,141.6,293.5,151.9,90.06,89.61,2.36,6.03,18.64,12.62,73.6,70.6,35,0.01088,0.00287,0.00536,0.0008,0.07536,0.08746,0.02228,2.01,-15.4,-24.1,17.6,0.0873,0.01088,0.00287,0.07536,0.02228
Korean,F,epr,epr_kor,6,9,con,polite,9.529,191.9,190.3,32.1,132.2,287.1,154.8,90.78,90.86,2.82,4.84,18.21,13.37,73.2,70.2,33.5,0.01134,0.0029,0.0054,0.0009,0.08161,0.07547,0.02485,3.41,-16,-22,16.8,0.1066,0.01134,0.0029,0.08161,0.02485
Korean,F,epr,epr_kor,6,9,pan,casual,7.648,204.3,189.9,33.8,150.5,301.5,151,91.88,90.83,2.72,7.08,19.11,12.03,75.1,71.8,32.8,0.00968,0.00261,0.00491,0.0008,0.06966,0.05982,0.02195,1.2,-13.1,-24.5,17.3,0.0802,0.00968,0.00261,0.06966,0.02195
Japanese,F,epr,epr_jpn,11,10,cas,casual,4.865,214.7,226.6,47.9,97.3,288.9,191.7,92.36,93.89,4.95,-0.46,18.37,18.83,66.7,65.2,33.4,0.00834,0.00234,0.00419,0.0013,0.08682,0.07923,0.03275,2.3,-17.2,-22,15.7,0.0786,0.00834,0.00234,0.08682,0.03275
Japanese,F,epr,epr_jpn,11,10,pol,polite,6.677,242.6,244.3,21.9,183.1,293.1,110,95,95.19,1.6,10.48,18.62,8.14,67.2,63.6,37.8,0.00923,0.00253,0.00462,0.0006,0.07496,0.06948,0.02532,6.48,-18.5,-22,15.6,0.1221,0.00923,0.00253,0.07504,0.02529
Japanese,F,epr,epr_jpn,11,1,cas,casual,5.821,226.2,233.7,50.3,94.7,302.2,207.5,93.27,94.42,4.94,-0.95,19.14,20.09,67.2,65.1,39.5,0.00871,0.00227,0.00372,0.0016,0.07873,0.07537,0.02997,2.69,-20.3,-21.7,16.3,0.0933,0.00871,0.00227,0.07873,0.02997
